id	type	char_flags_txt	char_flags_txt_value	flags_txt	flags_txt_value	x	y	direction	shield	portrait	land	warrior_0	warrior_1	warrior_2	warrior_3	warrior_4	warrior_5	warrior_6	warrior_7	warrior_8	warrior_9	warrior_10	warrior_11	warrior_12	warrior_13	warrior_14	warrior_15	owner	land_ruler	land_war_state	land_realm	land_owner	land_enemies
0	castle		0		0	256	0	NORTH	shield_3	head_1	Imilvir	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
1	castle		0		0	256	0	NORTH	shield_3	head_2	Eodral	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
2	castle		0		0	256	0	NORTH	shield_3	head_3	Arelon	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
3	castle		0		0	256	0	NORTH	shield_3	head_4	Aravik	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
4	castle		0		0	256	0	NORTH	shield_3	head_5	Caradwin	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
5	castle		0		0	256	0	NORTH	shield_3	head_6	Falthrang	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
6	castle		0		0	256	0	NORTH	shield_3	head_7	Elinmor	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
7	castle		0		0	256	0	NORTH	shield_3	head_8	Tarefyr	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
8	castle		0		0	256	0	NORTH	shield_3	head_9	Northern	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
9	castle		0		0	256	0	NORTH	shield_3	head_10	Eastern	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
10	castle		0		0	256	0	NORTH	shield_3	head_11	Southern	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
11	castle		0		0	256	0	NORTH	shield_3	head_12	Western	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
12	castle		0		0	256	0	NORTH	shield_3	head_13	Middle	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
13	castle		0		0	256	0	NORTH	shield_3	head_14	Ulmor	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
14	castle		0		0	256	0	NORTH	shield_3	head_15	Skulls	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
15	castle		0		0	256	0	NORTH	shield_3	head_16	Shining	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
16	castle		0		0	256	0	NORTH	shield_3	head_17	Silfar	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
17	castle		0		0	256	0	NORTH	shield_3	head_18	Grey	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
18	castle		0		0	256	0	NORTH	shield_3	head_19	Eregoth	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
19	castle		0		0	256	0	NORTH	shield_3	head_20	Weeping	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
20	castle		0		0	256	0	NORTH	shield_3	head_21	Fire	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
21	castle		0		0	256	0	NORTH	shield_3	head_22	Galorwain	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	Kith	CH_MORKIN	LS_AT_PEACE	The Witherlands	CH_MORKIN	0
