Version	Id	Symbol	Flags	Location	Kills	Name	Description	Use Description	Carried By	Type	Power
7	1	OB_WOLVES	FIGHT+SEE	"0,0"		Wolves	wolves				
7	2	OB_DRAGONS	FIGHT+SEE	"0,0"		Dragons	dragons				
7	3	OB_ICETROLLS	FIGHT+SEE	"0,0"		Ice Trolls	ice trolls				
7	4	OB_SKULKRIN	FIGHT+SEE	"0,0"		Skulkrin	skulkrin				
7	5	OB_WILDHORSES	SEE	"0,0"		Wild Horses	wild horses				
7	6	OB_SHELTER	REMOVE	"0,0"		Shelter	shelter and is refreshed				
7	7	OB_GUIDANCE	REMOVE	"0,0"		Guidance	guidance				
7	8	OB_SHADOWSOFDEATH	REMOVE	"0,0"		Shadows of Death	the {obj:name} which drain {char:gender:himher} of vigour				
7	9	OB_WATERSOFLIFE	REMOVE	"0,0"		Waters of Life	the {obj:name} which fill {char:gender:himher} with vigour				
7	10	OB_HANDOFDARK	REMOVE	"0,0"		Hand of Dark	the {obj:name} which brings death to the day				
7	11	OB_CUPOFDREAMS	REMOVE	"0,0"		Cup of Dreams	the {obj:name} which brings new welcome				
7	12	OB_WOLFSLAYER	PICKUP+DROP+WEAPON+REMOVE	"0,0"	OB_WOLVES	Sword Wolfslayer	the {obj:name}	SS_FIGHT2			
7	13	OB_DRAGONSLAYER	PICKUP+DROP+WEAPON+REMOVE	"0,0"	OB_DRAGONS	Sword Dragonslayer	the {obj:name}	SS_FIGHT2			
7	14	OB_ICECROWN	WEAPON+UNIQUE	"0,0"	OB_ICETROLLS	Ice Crown	the {obj:name}	SS_FIGHT4			
7	15	OB_MOONRING	PICKUP+WEAPON+UNIQUE	"0,0"	OB_SKULKRIN	Moon Ring	the {obj:name}	SS_FIGHT3	CH_LUXOR		
7	16	OB_CLAWS		"0,0"		Claws					
7	17	OB_FLAMES		"0,0"		Flames					
7	18	OB_THORNS		"0,0"		Thorns					
7	19	OB_BLOOD		"0,0"		Blood					
7	20	OB_LANGUOR		"0,0"		Languor					
7	21	OB_SPRINGS		"0,0"		Springs					
7	22	OB_EYEOFTHEMOON	UNIQUE	"0,0"		Eye of the Moon	the {obj:name}		CH_MIDWINTER		
7	23	OB_STORMBLADE	PICKUP+DROP+UNIQUE	"148,125"		Stormblade	the {obj:type} {obj:name}			OT_SWORD	OP_BATTLE_TIRELESS
7	24	OB_BLOODBRINGER	PICKUP+DROP+UNIQUE	"7,14"		Bloodbringer	the {obj:type} {obj:name}			OT_SWORD	OP_ARAKAI_LOYALTY
7	25	OB_WIDOMAKER	PICKUP+DROP+UNIQUE	"72,200"		Widowmaker	the {obj:type} {obj:name}			OT_AXE	OP_DWARF_INVINCIBLE
7	26	OB_ARANATH	PICKUP+DROP+UNIQUE	"32,80"		Arananth	the {obj:type} {obj:name}			OT_SWORD	OP_FEY_BLADE
7	27	OB_PERSUADER	PICKUP+DROP+UNIQUE	"25,160"		Persuader	the {obj:type} {obj:name}			OT_AXE	OP_PERSUASION
7	28	OB_SKULLCRUSHER	PICKUP+DROP+UNIQUE	"233,205"		Skullcrusher	the {obj:type} {obj:name}			OT_AXE	OP_GIANT_STRENGTH
7	29	OB_SWIFTWING	PICKUP+DROP+UNIQUE	"241,210"		Swiftwing	the {obj:type} {obj:name}			OT_SWORD	OP_LONE_SWIFTNESS
