Version	Id	Symbol	Flags	Location	Race	Type	Total	Target	Orders	Success	Loyalty	Delay
7	1	RG_1		"118,206"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	2
7	2	RG_2		"120,203"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	3
7	3	RG_3		"132,182"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	4
7	4	RG_4		"135,180"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	5
7	5	RG_5		"123,183"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	6
7	6	RG_6		"131,199"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	2
7	7	RG_7		"135,199"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	3
7	8	RG_8		"169,190"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	4
7	9	RG_9		"173,190"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	5
7	10	RG_10		"148,247"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	6
7	11	RG_11		"152,247"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	2
7	12	RG_12		"131,236"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	3
7	13	RG_13		"132,232"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	4
7	14	RG_14		"126,155"	RA_DARK_FEY	UT_RIDERS	1000		Wander	96	CH_BOROTH	5
7	15	RG_15		"130,155"	RA_DARK_FEY	UT_WARRIORS	1200		Wander	64	CH_BOROTH	6
