Version	Id	Symbol	Flags	Name	Preposition	Description	Success	Visibility	Obstruction	MovementCost
7	0	TN_PLAIN	PLURAL+ARMY	Plain	on	{str:5}	0	3	1	0
7	1	TN_CITADEL	INTERESTING	Citadel	at	{str:5}	32	14	14	0
7	2	TN_FOREST	INTERESTING	Forest	in	{str:5}	0	12	13	3
7	3	TN_HENGE	INTERESTING	Henge	at	{area:name}henge	0	12	12	0
7	4	TN_TOWER	INTERESTING	Tower	at	{str:5}	0	15	7	0
7	5	TN_VILLAGE	INTERESTING	Village	in	{str:5}	0	10	8	0
7	6	TN_DOWN	PLURAL+INTERESTING	Down	on	{str:5}	0	5	4	1
7	7	TN_KEEP	INTERESTING	Keep	at	{str:5}	16	10	10	0
7	8	TN_SNOWHALL	INTERESTING	Snowhall	at	{str:5}	0	6	4	0
7	9	TN_LAKE	INTERESTING	Lake	beside	Lake {area:name}	0	4	6	0
7	10	TN_FROZENWASTE	PLURAL+BLOCK+INTERESTING	Frozen Waste	in	the Frozen Wastes	0	12	12	0
7	11	TN_RUIN	INTERESTING	Ruin	in	{str:5}	0	8	4	0
7	12	TN_LITH	INTERESTING	Lith	at	{str:5}	0	10	6	0
7	13	TN_CAVERN	INTERESTING	Cavern	at	{str:5}	0	2	6	0
7	14	TN_MOUNTAIN	PLURAL+INTERESTING	Mountain	in	{str:5}	0	16	16	4
7	15	TN_UNUSED_15					0	8	8	0
7	16	TN_PLAINS2	PLURAL+ARMY	Plain	on	{str:5}	0	0	0	0
7	17	TN_MOUNTAIN2	PLURAL+INTERESTING	Mountain	in	{str:5}	0	0	0	0
7	18	TN_FOREST2	INTERESTING+ARMY	Forest	in	{str:5}	0	0	0	0
7	19	TN_HILL	PLURAL+INTERESTING+ARMY	Hill	in	{str:5}	0	0	0	0
7	20	TN_GATE	INTERESTING+ARMY	Gate	at	{str:5}	0	0	0	0
7	21	TN_TEMPLE	INTERESTING+ARMY	Temple	at	{str:5}	0	0	0	0
7	22	TN_PIT	INTERESTING+ARMY	Pit	at	{str:5}	0	0	0	0
7	23	TN_PALACE	INTERESTING+ARMY	Palace	at	{str:5}	0	0	0	0
7	24	TN_FORTRESS	INTERESTING+ARMY	Fortress	at	{str:5}	0	0	0	0
7	25	TN_HALL	INTERESTING	Hall	at	{str:5}	0	0	0	0
7	26	TN_HUT	INTERESTING	Hut	at	{str:5}	0	0	0	0
7	27	TN_TOWER2	INTERESTING+ARMY	Tower	at	{str:5}	0	0	0	0
7	28	TN_CITY	INTERESTING+ARMY	City	in	{str:5}	0	0	0	0
7	29	TN_FOUNTAIN	INTERESTING+ARMY	Fountain	at	{str:5}	0	0	0	0
7	30	TN_STONE	PLURAL+INTERESTING+ARMY	Stone	at	{str:5}	0	0	0	0
7	31	TN_FROZENWASTE2	PLURAL+BLOCK+INTERESTING	Frozen Waste		the Frozen Wastes	0	0	0	0
7	32	TN_UNUSED_32					0	0	0	0
7	33	TN_LAND 		Land	on	{str:5}	0	0	0	0
7	34	TN_ISLE		Isle	on	{str:5}	0	0	0	0
7	35	TN_LAKELAND		Lakeland	in	{str:5}	0	0	0	0
7	36	TN_PLAIN	PLURAL	Plain	on	{str:5}	0	0	0	0
7	37	TN_PLAINS3	PLURAL	Plain	on	{str:5}	0	0	0	0
7	38	TN_FOREST3		Forest	in	{str:5}	0	0	0	0
7	39	TN_UNUSED_39				{str:5}	0	0	0	0
7	40	TN_TREES3	PLURAL	Tree	beside	{str:5}	0	0	0	0
7	41	TN_MOUNTAIN3	PLURAL	Mountain	in	{str:5}	0	0	0	0
7	42	TN_ICY_MOUNTAIN	PLURAL	Icy Mountain	in	{str:5}	0	0	0	0
7	43	TN_DOWNS3	PLURAL	Down	on	{str:5}	0	0	0	0
7	44	TN_HILLS3	PLURAL	Hill	in	{str:5}	0	0	0	0
7	45	TN_FOOTHILLS	PLURAL	Foothill	in	{str:5}	0	0	0	0
7	46	TN_VALLEY		Valley	in	{str:5}	0	0	0	0
7	47	TN_BAY		Bay	at	{str:5}	0	0	0	0
7	48	TN_SEA		Sea	at	{str:5}	0	0	0	0
7	49	TN_RIVER		River	at	{str:5}	0	0	0	0
7	50	TN_MARSH		Marsh	At	{str:5}	0	0	0	0
7	51	TN_LAKE3		Lake	beside	{str:5}	0	0	0	0
7	52	TN_UNUSED_52				{str:5}	0	0	0	0
7	53	TN_UNUSED_53				{str:5}	0	0	0	0
7	54	TN_UNUSED_54				{str:5}	0	0	0	0
7	55	TN_MIST		Mist	In	{str:5}	0	0	0	0
7	56	TN_UNUSED_56				{str:5}	0	0	0	0
