Version	Id	Symbol	Flags	Location	Kills	Name	Description	Use Description	Carried By	Type	Power
1	1	OB_WOLVES	FIGHT+SEE	0,0		Wolves	wolves			OT_NONE	OP_ATTACK
1	2	OB_DRAGONS	FIGHT+SEE	0,0		Dragons	dragons			OT_NONE	OP_ATTACK
1	3	OB_ICETROLLS	FIGHT+SEE	0,0		Ice Trolls	ice trolls			OT_NONE	OP_ATTACK
1	4	OB_SKULKRIN	FIGHT+SEE	0,0		Skullkrin	skulkrin			OT_NONE	OP_ATTACK
1	5	OB_WILDHORSES	SEE	0,0		Wild Horses	wild horses			OT_NONE	OP_HORSE
1	6	OB_SHELTER	REMOVE	0,0		Shelter	shelter and is refreshed			OT_NONE	OP_SHELTER
1	7	OB_GUIDANCE	REMOVE	0,0		Guidance	guidance			OT_NONE	OP_GUIDANCE
1	8	OB_SHADOWSOFDEATH	REMOVE	0,0		Shadows of Death	the {obj:name} which drain {char:gender:himher} of vigour			OT_NONE	OP_NO_ENERGY
1	9	OB_WATERSOFLIFE	REMOVE	0,0		Waters of Life	the {obj:name} which fill {char:gender:himher} with vigour			OT_NONE	OP_FULL_ENERGY
1	10	OB_HANDOFDARK	REMOVE	0,0		Hand of Dark	the {obj:name} which brings death to the day			OT_NONE	OP_NIGHT
1	11	OB_CUPOFDREAMS	REMOVE	0,0		Cup of Dreams	the {obj:name} which brings new welcome			OT_NONE	OP_DAWN
1	12	OB_WOLFSLAYER	PICKUP+DROP+WEAPON+REMOVE	0,0	OB_WOLVES	Wolfslayer	the {obj:type} {obj:name}	SS_FIGHT2		OT_SWORD	OP_NONE
1	13	OB_DRAGONSLAYER	PICKUP+DROP+WEAPON+REMOVE	0,0	OB_DRAGONS	Dragonslayer	the {obj:type} {obj:name}	SS_FIGHT2		OT_SWORD	OP_NONE
1	14	OB_ICECROWN	PICKUP+WEAPON+UNIQUE	0,0	OB_ICETROLLS	Ice	the {obj:name} {obj:type}	SS_FIGHT4		OT_CROWN	OP_FEAR
1	15	OB_MOONRING2	PICKUP+WEAPON+UNIQUE	0,0	OB_SKULKRIN	Moon	the {obj:name} {obj:type}	SS_FIGHT3	CH_LUXOR	OT_RING	OP_CONTROL
1	16	OB_CLAWS		0,0		Claws	the Claws of Night			OT_NONE	OP_NIGHT
1	17	OB_FLAMES		0,0		Flames	the Flames of Dawn			OT_NONE	OP_DAWN
