Version	Id	Symbol	Text
1	0	SS_ADVERBS	utterly|extremely|very|quite|somewhat|slightly|not|not at all
1	1	SS_NUMBERS	one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|score
1	2	SS_ENERGYTOKENS	tired|tired
1	3	SS_FEARTOKENS	cold|cold
1	4	SS_COURAGETOKEN	afraid|afraid
1	5	SS_DEFAULT_TERRAIN	the {terrain:plural} of {area:text}
1	6	SS_LOCATION_DOMAIN	{terrain:single} in the Domain of {area:text}
1	7	SS_LOCATION_NOTDOMAIN	{terrain:text}
1	8	SS_DAWN	.{lf}{crlf}{cr}  Dawn breaks. 
1	9	SS_NIGHT	  It is {special:days} {plural:day:days} since the Moonprince rode forth into the Icemark.
1	10	SS_THINGATLOCATION	{case:first}{char:loc:obj:name} are abroad. 
1	11	SS_RECRUITMEN	{char:name} has recruited {number:%d} %s from {char:loc:name}. {case:first}{number:%d} %s now guard the {char:loc:terrain:name}. {char:text:army}
1	12	SS_POSTMEN	{char:name} has placed {number:%d} %s on guard at {char:loc:name}. {case:first}{number:%d} %s now guard the {char:loc:terrain:name}. {char:text:army}
1	13	SS_ITISNIGHT	It is night
1	14	SS_ITISDAWN	It is dawn
1	15	SS_LESSTHAN	Less than {char:time} {plural:hour:hours} of the day {plural:remains:remain}
1	16	SS_HOURSOFDAY	{case:first}{char:time} {plural:hour:hours} of the day {plural:remains:remain}
1	17	SS_CHARACTER_ENERGY	{char:name} is {char:energy}
1	18	SS_CHARACTER_FEAR	The ice fear is {char:fear}
1	19	SS_CHARACTER_COURAGE	{char:name} is {char:courage}
1	20	SS_CARRYNOTHING	{char:name} carries nothing
1	21	SS_CARRYING	{char:name} carries the {char:obj:fullname}
1	22	SS_KILLED_OBJECT	{char:longname} is dead, slain by {case:lower}{char:battle:obj:name}.  
1	23	SS_KILLED_BATTLE	{case:first}{char:gender:heshe} was killed in battle. %s
1	24	SS_HIDDEN	{case:first}{char:name} is hidden. 
1	25	SS_MUSTFIGHT	{case:first}{char:loc:obj:name} are abroad and {char:gender:heshe} must fight or hide. 
