ID	Code	Value	Description
0	SS_ADVERBS	utterly|extremely|very|quite|somewhat|slightly|not|not at all	Quantity for description token
1	SS_NUMBERS	one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|score	 Number Tokens
2	SS_ENERGYTOKENS	tired|tired	Energy Description Tokens
3	SS_FEARTOKENS	cold|cold	Ice Fear Tokens
4	SS_COURAGETOKEN	afraid|afraid	Courage Tokens
5	SS_DEFAULT_TERRAIN	the {terrain:plural} of {area:text}	"Default Terrain Description: ""The Citadel of Xajorkith"""
6	SS_LOCATION_DOMAIN	{terrain:single} in the Domain of {area:text}	Description of minor domain Location
7	SS_LOCATION_NOTDOMAIN	{terrain:text}	Description of major location
8	SS_DAWN	.\n\n§§Dawn breaks.§	Dawn Message
9	SS_NIGHT	§§It is {special:days} {plural:day:days} since the Moonprince rode forth into the Icemark.	Night Message
10	SS_THINGATLOCATION	{case:first}{char:loc:obj:name} are abroad.§	Wild horses are abroad
11	SS_RECRUITMEN	{char:name} has recruited {number:%d} %s from {char:loc:name}.§{case:first}{number:%d} %s now guard the {char:loc:terrain:name}.§{char:text:army}	Character recruiting solfiers
12	SS_POSTMEN	{char:name} has placed {number:%d} %s on guard at {char:loc:name}.§{case:first}{number:%d} %s now guard the {char:loc:terrain:name}.§{char:text:army}	Character posting soldiers
13	SS_ITISNIGHT	It is night	Time component: exactly night
14	SS_ITISDAWN	It is dawn	Time component: exactly dawn
15	SS_LESSTHAN	Less than {char:time} {plural:hour:hours} of the day {plural:remains:remain}	Time component: half hour
16	SS_HOURSOFDAY	{case:first}{char:time} {plural:hour:hours} of the day {plural:remains:remain}	Time component: on the hour
17	SS_CHARACTER_ENERGY	{char:name} is {char:energy}	"Characters Energy: ""Luxor is utterly invigorated"""
18	SS_CHARACTER_FEAR	The ice fear is {char:fear}	"Characters Ice Fear: ""The Ice Fear is quite cold"""
19	SS_CHARACTER_COURAGE	{char:name} is {char:courage}	"Characters Courage: ""Luxor is bold"""
20	SS_CARRYNOTHING	{char:name} carries nothing	"Character is carrying nothing: ""Tarithel carries nothing"""
21	SS_CARRYING	{char:name} carries the {char:obj:fullname}	"Character is carrying object: ""Tarithel carries ..."""
22	SS_KILLED_OBJECT	"{char:longname} is dead, slain by {case:lower}{char:battle:obj:name}.§§"	"Character Killed by nasties: ""Wolves killed him"""
23	SS_KILLED_BATTLE	{case:first}{char:gender:heshe} was killed in battle. %s	Character Killed in Battle
24	SS_HIDDEN	{case:first}{char:name} is hidden.§	Character is Hidden
25	SS_MUSTFIGHT	{case:first}{char:loc:obj:name} are abroad and {char:gender:heshe} must fight or hide.§	Nasties need to be killed
26	SS_MESSAGE1	"{char:text:time}.§{char:text:sees}Here {char:loc:text}, {char:longname} has found nothing. {char:text:obj}.§{char:text:group} {char:text:inbattle}"	Think_Place: It is Dawn: He has found nothing. Luxor carries an object.
27	SS_MESSAGE2	{char:loc:text} stands {char:longname}.§{char:text:army}	Think_Army: Describe character and army
28	SS_MESSAGE3	{char:longname} is {char:text:traits} and {char:reckless}.§{char:name} is {char:despondency} and {char:energy}.§{char:text:liege}§{char:text:foe}§{char:text:group}§	Think_Person: Current character
29	SS_MESSAGE4	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}{char:text:loyalty}.§{str:28}	Think_Person: Someone else
30	SS_MESSAGE5	§§{char:longname} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name}.§	Character look message when not looking at something
31	SS_MESSAGE6	§§{char:longname} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name} to {char:lookat:name}.§	Character look message when looking at something
32	SS_SEEK	"{char:text:time}.§{char:text:sees}Here {char:loc:text}, {char:longname} has found {obj:text}.§{char:text:obj}.§{char:text:group}"	Character finds object
33	SS_FIGHT	"{char:text:time}.§{char:text:sees}Here {char:loc:text}, {char:longname} has found {obj:text} and slain them.§{char:text:obj}.§{char:text:group}"	Character kills nasty
34	SS_GUIDANCE1	"{char:text:time}.§{char:text:sees}Here {char:loc:text}, {char:longname} has found {obj:text}"	Guidance for Finding Person
35	SS_GUIDANCE2	§{char:text:obj}.§{char:text:group}	Guidance for Finding Ice Crown destoryer ( person )
36	SS_SEEK_NOTHING	{case:first}{char:gender:heshe} has found nothing.§	Character Finds Nothing
37	SS_BATTLE1	"In battle against %s, {char:name}§"	Battle Component
38	SS_BATTLE_NONE	"In battle, {char:name}§"	Character lost no one in battle
39	SS_BATTLE_WARRIORS	{char:name} lost %s warriors.§	Character lost warriors in battle
40	SS_BATTLE_RIDERS	{char:name} lost %s riders.§	Character lost riders in battle
