Version	Id	Symbol	Flags	Location	Long Name	Short Name	Recruit	Group	Looking	Time	Race	Gender	Loyalty	Energy	Reckless	Strength	Cowardly	Courage	Despondency	Fear	Orders	Carrying	Warriors	Riders	Following	Foe	Liege	Traits	Home	Desired Object
1	1	CH_LUXOR	RIDING+ALIVE+RECRUITED+ARMY+HIDE+HORSE+MOONRING	13,41	Luxor the Moonprince	Luxor	23	0	DR_SOUTHEAST	16	RA_FREE	GD_MALE	RA_FREE	127	180	25	80	0	0	0	None	OB_MOONRING	0	0		CH_DOOMDARK				
1	2	CH_MORKIN	RIDING+ALIVE+RECRUITED+HORSE+MOONRING+ICECROWN	13,41	Morkin	Morkin	126	0	DR_NORTH	16	RA_MORKIN	GD_MALE	RA_FREE	127	200	5	127	0	0	0	None		0	0		CH_DOOMDARK				
1	3	CH_CORLETH	RIDING+ALIVE+RECRUITED+ARMY+HIDE+HORSE	13,41	Corleth the Fey	Corleth	107	0	DR_EAST	16	RA_FEY	GD_MALE	RA_FREE	127	180	20	96	0	0	0	None		0	0		CH_DOOMDARK				
1	4	CH_RORTHRON	RIDING+ALIVE+RECRUITED+HIDE+HORSE	13,41	Rorthron the Wise	Rorthron	127	0	DR_NORTHEAST	16	RA_WISE	GD_MALE	RA_FREE	127	220	40	80	0	0	0	None		0	0		CH_DOOMDARK				
1	5	CH_GARD	RIDING+ALIVE+ARMY+HIDE+HORSE	11,56	The Lord of Gard	Gard	1	1	DR_EAST	16	RA_FREE	GD_MALE	RA_FREE	64	150	10	64	0	0	0	None		500	1000		CH_DOOMDARK				
1	6	CH_MARAKITH	RIDING+ALIVE+ARMY+HIDE+HORSE	44,33	The Lord of Marakith	Marakith	1	1	DR_WEST	16	RA_FREE	GD_MALE	RA_FREE	64	150	10	64	0	0	0	None		500	1000		CH_DOOMDARK				
1	7	CH_XAJORKITH	RIDING+ALIVE+ARMY+HIDE+HORSE	46,60	The Lord of Xajorkith	Xajorkith	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	150	15	64	0	0	0	None		800	1200		CH_DOOMDARK				
1	8	CH_GLOOM	RIDING+ALIVE+ARMY+HIDE+HORSE	9,1	The Lord of Gloom	Gloom	1	1	DR_EAST	16	RA_FREE	GD_MALE	RA_FREE	64	150	15	56	0	0	0	None		500	1000		CH_DOOMDARK				
1	9	CH_SHIMERIL	RIDING+ALIVE+ARMY+HIDE+HORSE	29,43	The Lord of Shimeril	Shimeril	1	1	DR_NORTHWEST	16	RA_FREE	GD_MALE	RA_FREE	64	150	15	64	0	0	0	None		800	1000		CH_DOOMDARK				
1	10	CH_KUMAR	RIDING+ALIVE+ARMY+HIDE+HORSE	58,30	The Lord of Kumar	Kumar	1	1	DR_SOUTH	16	RA_FREE	GD_MALE	RA_FREE	64	150	10	64	0	0	0	None		700	1000		CH_DOOMDARK				
1	11	CH_ITHRORN	RIDING+ALIVE+ARMY+HIDE+HORSE	58,16	The Lord of Ithrorn	Ithrorn	9	1	DR_NORTHWEST	16	RA_FREE	GD_MALE	RA_FREE	64	150	15	64	0	0	0	None		1000	1200		CH_DOOMDARK				
1	12	CH_DAWN	RIDING+ALIVE+ARMY+HIDE+HORSE	45,46	The Lord of Dawn	Dawn	1	1	DR_NORTH	16	RA_FREE	GD_MALE	RA_FREE	64	120	8	48	0	0	0	None		500	800		CH_DOOMDARK				
1	13	CH_DREAMS	RIDING+ALIVE+ARMY+HIDE+HORSE	43,17	The Lord of Dreams	Dreams	31	8	DR_NORTH	16	RA_FEY	GD_MALE	RA_FREE	64	180	20	90	0	0	0	None		800	1200		CH_DOOMDARK				
1	14	CH_DREGRIM	RIDING+ALIVE+ARMY+HIDE+HORSE	60,44	The Lord of Dregrim	Dregrim	31	8	DR_NORTH	16	RA_FEY	GD_MALE	RA_FREE	64	150	15	80	0	0	0	None		400	1000		CH_DOOMDARK				
1	15	CH_THIMRATH	RIDING+ALIVE+ARMY+HIDE+HORSE	34,61	Thimrath the Fey	Thimrath	26	2	DR_WEST	16	RA_FEY	GD_MALE	RA_FREE	64	130	12	90	0	0	0	None		600	400		CH_DOOMDARK				
1	16	CH_WHISPERS	RIDING+ALIVE+ARMY+HIDE+HORSE	58,21	The Lord of Whispers	Whispers	26	2	DR_NORTHWEST	16	RA_FEY	GD_MALE	RA_FREE	64	150	12	80	0	0	0	None		300	600		CH_DOOMDARK				
1	17	CH_SHADOWS	ALIVE+ARMY+HIDE+HORSE	12,38	The Lord of Shadows	Shadows	26	2	DR_NORTH	16	RA_FEY	GD_MALE	RA_FREE	64	130	12	70	0	0	0	None		0	1000		CH_DOOMDARK				
