ID	Code	Name	Prefix
0	AR_NONE	none	
1	AR_LOTHORIL	Lothoril	
2	AR_GLOOM	Gloom	
3	AR_MOON	Moon	
4	AR_MIRROW	Mirrow	
5	AR_GLORIM	Glorim	
6	AR_KORKITH	Korkith	
7	AR_LOST	Lost	the
8	AR_DEAD	Dead	
9	AR_WEIRD	Weird	
10	AR_UGRAK	Ugrak	
11	AR_DEATH	Death	
12	AR_DOOM	Doom	
13	AR_DESPAIR	Despair	
14	AR_VORGATH	Vorgath	
15	AR_USHGARAK	Ushgarak	
16	AR_UGRORN	Ugrorn	
17	AR_KOR	Kor	
18	AR_TOOMOG	Toomog	
19	AR_OGRIM	Ogrim	
20	AR_DODRAK	Dodrak	
21	AR_GORGRATH	Gorgrath	
22	AR_VALETHOR	Valethor	
23	AR_COROTH	Coroth	
24	AR_ASHIMAR	Ashimar	
25	AR_ITHRIL	Ithril	
26	AR_SHADOWS	Shadows	
27	AR_BLOOD	Blood	
28	AR_THRALL	Thrall	
29	AR_TORKREN	Torkren	
30	AR_GARD	Gard	
31	AR_MITHARG	Mitharg	
32	AR_MOON2	Moon	the
33	AR_ISERATH	Iserath	
34	AR_SHIMERIL	Shimeril	
35	AR_ODRARK	Odrark	
36	AR_ISHMALAY	Ishmalay	
37	AR_BRITH	Brith	
38	AR_SILENCE	Silence	
39	AR_ELENIL	Elenil	
40	AR_RORATH	Rorath	
41	AR_MORNING	Morning	
42	AR_THIMRATH	Thimrath	
43	AR_CORELAY	Corelay	
44	AR_RATHRORN	Rathrorn	
45	AR_LORGRIM	Lorgrim	
46	AR_LOR	Lor	
47	AR_FADRATH	Fadrath	
48	AR_DROON	Droon	
49	AR_GRARG	Grarg	
50	AR_DREAMS	Dreams	
51	AR_ITHRORN	Ithrorn	
52	AR_WHISPERS	Whispers	
53	AR_XAJORKITH	Xajorkith	
54	AR_HERATH	Herath	
55	AR_KUMAR	Kumar	
56	AR_MARAKITH	Marakith	
57	AR_TARG	Targ	the
58	AR_UTARG	Utarg	
59	AR_ATHORIL	Athoril	
60	AR_DREGRIM	Dregrim	
61	AR_DAWN	Dawn	
62	AR_TRORN	Trorn	
63	AR_COOM	Coom	
