Version	Id	Symbol	Flags	Location	Long Name	Short Name	Recruit	Group	Looking	Time	Race	Gender	Loyalty	Energy	Reckless	Strength	Cowardly	Courage	Despondency	Fear	Orders	Carrying	Warriors	Riders	Following	Foe	Liege	Traits	Home	Desired Object	Quest	Purpose	Reaction	Qualities
1	0	CH_MORKIN	RECRUITED+KNOWLEDGE+FRIENDLY+INTEREST+MAJOR+CONTROL+LOCATION+WATCH+ALIVE	"8,12"	Prince Morkin	Morkin					RA_FREE	GD_MALE	RA_FREE	1440																	Rest	BeAHostage	ReturnHome	BOLD+TIRELESS+RELIABLE+GALLANT
1	1	CH_CORLETH	RECRUITED+KNOWLEDGE+FRIENDLY+INTEREST+CONTROL+LOCATION+WATCH+ALIVE	"145,220"	Corleth of Corelay	Corleth					RA_FREE	GD_MALE	RA_FREE	1440																	Rescue	RandomlyWander	ReturnHome	SELFLESS+TALKATIVE+RELIABLE
1	2	CH_ANDERLANE	ALIVE	"149,97"	Anderlane of the Arakai	Anderlane					RA_ARAKAI	GD_MALE	RA_ARAKAI	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+BOLD+EAGER+PASSIONATE+LOYAL+HOTTEMPERED+MIGHTYWARRIOR+HEADSTRONG
1	3	CH_RORTHRON	RECRUITED+KNOWLEDGE+FRIENDLY+INTEREST+CONTROL+LOCATION+WATCH+ALIVE	"71,57"	Rorthron the Wise	Rorthron					RA_FREE	GD_MALE	RA_FREE	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+FARSIGHTED+QUICKWITTED+LOYAL+PEACEABLE+PATIENT+PERSUASIVE+KNOWLEDGEABLE
1	4	CH_ITAR	ALIVE	"93,137"	Itar the Green	Itar					RA_DAWN_FEY	GD_MALE	RA_DAWN_FEY	1440																	Rest	DefendHomeland	ReturnHome	FARSIGHTED+SELFLESS+GENTLE
1	5	CH_ARIN	RECRUITED+KNOWLEDGE+FRIENDLY+INTEREST+CONTROL+LOCATION+WATCH+ALIVE	"145,220"	Arin Lord Blood	Arin					RA_FREE	GD_MALE	RA_FREE	1440																	Rescue	RandomlyWander	ReturnHome	EAGER+ENERGETIC+CHARMING+HOTTEMPERED
1	6	CH_GALAGRIM	KNOWLEDGE+ALIVE	"236,107"	Galagrim of the Flame	Galagrim					RA_DRAGONLORD	GD_MALE	RA_DRAGONLORD	1440																	Rest	DefendHomeland	ReturnHome	PERSUASIVE+SUPERBLEADER+HEADSTRONG+THICKSKINNED
1	7	CH_LUXOR	RECRUITED+KNOWLEDGE+FRIENDLY+PRISONER+INTEREST+CONTROL+LOCATION+WATCH+ALIVE	"145,220"	Luxor the Moonprince	Luxor					RA_FREE	GD_MALE	RA_FREE	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+BOLD+KIND+SUPERBLEADER
1	8	CH_KARGRIM	ALIVE	"239,41"	Kargrim the Cautious	Kargrim					RA_DRAGONLORD	GD_MALE	RA_DRAGONLORD	1440																	Rest	DefendHomeland	ReturnHome	QUICKWITTED+MODEST+CAUTIOUS
1	9	CH_MORATHRON	ALIVE	"191,61"	Morathron the Sorceror	Morathron					RA_ARAKAI	GD_MALE	RA_ARAKAI	1440																	Rest	DefendHomeland	ReturnHome	FARSIGHTED+COLDHEARTED+TREACHEROUS+IMPATIENT
1	10	CH_GUTHRANE	ALIVE	"157,20"	Guthrane Oakfist	Guthrane					RA_ARAKAI	GD_MALE	RA_ARAKAI	1440																	Rest	DefendHomeland	ReturnHome	HOTTEMPERED+HEADSTRONG+IMPATIENT
1	11	CH_DJALINA	PRISONER+ALIVE	"145,220"	Djalina Snowheart	Djalina					RA_USKARG	GD_FEMALE	RA_USKARG	1440																	Rest	BeAHostage	ReturnHome	BOLD+ENERGETIC+GALLANT+RECKLESS
1	12	CH_GRUMRUD	ALIVE	"59,130"	Grumrud Slowaxe	Grumrud					RA_LONG_DWARF	GD_MALE	RA_LONG_DWARF	1440																	Rest	DefendHomeland	ReturnHome	BOLD+KIND+CHARMING
1	13	CH_ASHOLETH	ALIVE	"18,159"	Asholeth the Fey	Asholeth					RA_HIGH_FEY	GD_MALE	RA_HIGH_FEY	1440																	Rest	DefendHomeland	ReturnHome	SELFLESS+EAGER+PERSUASIVE
1	14	CH_BOROTH	KNOWLEDGE+ALIVE	"145,220"	Boroth the Wolfheart	Boroth					RA_DARK_FEY	GD_MALE	RA_DARK_FEY	1440																	Rest	DarkFey	ReturnHome	SUPERBLEADER+CRUEL+VICIOUS+BLOODTHIRSTY
1	15	CH_ILDRAR	ALIVE	"112,107"	Ildrar the Stubborn	Ildrar					RA_DAWN_FEY	GD_MALE	RA_DAWN_FEY	1440																	Rest	DefendHomeland	ReturnHome	CHARMING+RECKLESS+HEADSTRONG
1	16	CH_MOGRIK	KNOWLEDGE+PRISONER+ALIVE	"145,220"	Mogrik the Witless	Mogrik					RA_KITH	GD_MALE	RA_KITH	1440																	Rest	BeAHostage	ReturnHome	WARMHEARTED+HOMELOVING+SLOWWITTED
1	17	CH_TORGRIM	ALIVE	"231,40"	Torgrim Arrowhand	Torgrim					RA_DRAGONLORD	GD_MALE	RA_DRAGONLORD	1440																	Rest	DefendHomeland	ReturnHome	SELFLESS+COLDHEARTED+RESTLESS
1	18	CH_UTHRAN	ALIVE	"150,247"	Uthran the Meddler	Uthran					RA_DRAGONLORD	GD_MALE	RA_DRAGONLORD	1440																	Rest	DefendHomeland	ReturnHome	TALKATIVE+PERSUASIVE
1	19	CH_MARIK	ALIVE	"91,245"	Marik Silktongue	Marik					RA_GELMING	GD_MALE	RA_GELMING	1440																	Rest	DefendHomeland	ReturnHome	MODEST+PERSUASIVE+NAIVE
1	20	CH_HARAGLAI	ALIVE	"147,158"	Haraglai Stormgut	Haraglai					RA_USKARG	GD_MALE	RA_USKARG	1440																	Rest	DefendHomeland	ReturnHome	TALKATIVE+HOTTEMPERED+RECKLESS
1	21	CH_OGLIM	KNOWLEDGE+ALIVE	"73,115"	Oglim the Lonely	Oglim					RA_LONG_DWARF	GD_MALE	RA_LONG_DWARF	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+MIGHTYWARRIOR+HEADSTRONG+SOLITARY
1	22	CH_ALOROTH	PRISONER+ALIVE	"145,220"	Aloroth the Fey	Aloroth					RA_DAWN_FEY	GD_MALE	RA_DAWN_FEY	1440																	Rest	BeAHostage	ReturnHome	GENEROUS+EAGER+IMPATIENT
1	23	CH_YRGRETH	ALIVE	"129,155"	Yrgreth Deathbringer	Yrgreth					RA_DARK_FEY	GD_MALE	RA_DARK_FEY	1440																	Rest	DefendHomeland	ReturnHome	QUICKWITTED+VICIOUS+GREEDY
1	24	CH_STUBLOG	ALIVE	"186,191"	Stublog Ironskull	Stublog					RA_GIANT	GD_MALE	RA_GIANT	1440																	Rest	DefendHomeland	ReturnHome	TALKATIVE+NAIVE+RECKLESS
1	25	CH_ORABRIN	ALIVE	"19,50"	Orabrin Lionsblood	Orabrin					RA_KITH	GD_MALE	RA_KITH	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+GALLANT+KNOWLEDGEABLE
1	26	CH_SPARTHOR	ALIVE	"237,16"	Sparthor the Patient	Sparthor					RA_DRAGONLORD	GD_MALE	RA_DRAGONLORD	1440																	Rest	DefendHomeland	ReturnHome	LOYAL+POLITE+PATIENT
1	27	CH_CADRON	ALIVE	"150,247"	Cadron the Bemused	Cadron					RA_KITH	GD_MALE	RA_KITH	1440																	Rest	DefendHomeland	ReturnHome	PEACEABLE+SLOWWITTED
1	28	CH_BRUNAK	ALIVE	"174,13"	Brunak the Wanderer	Brunak					RA_ARAKAI	GD_MALE	RA_ARAKAI	1440																	Rest	DefendHomeland	ReturnHome	BOLD+EAGER+TIRELESS+RESTLESS
1	29	CH_SKARAI	ALIVE	"149,187"	Skarai the Dreamer	Skarai					RA_USKARG	GD_MALE	RA_USKARG	1440																	Rest	DefendHomeland	ReturnHome	GENEROUS+PASSIONATE+PEACEABLE
1	30	CH_RUGRAK	ALIVE	"147,31"	Rugrak Firmaxe	Rugrak					RA_LONG_DWARF	GD_MALE	RA_LONG_DWARF	1440																	Rest	DefendHomeland	ReturnHome	LOYAL+RECKLESS
1	31	CH_MORGRETH	ALIVE	"171,100"	Morgreth the Unsure	Morgreth					RA_DAWN_FEY	GD_MALE	RA_DAWN_FEY	1440																	Rest	DefendHomeland	ReturnHome	LEVELHEADED+CAUTIOUS+TIGHTLIPPED
1	32	CH_GRALETH	ALIVE	"131,234"	Graleth the Bitter	Graleth					RA_DARK_FEY	GD_MALE	RA_DARK_FEY	1440																	Rest	DefendHomeland	ReturnHome	CRUEL+COLDHEARTED+IGNORANT
1	33	CH_MUGLUM	ALIVE	"174,205"	Muglum the Handsome	Muglum					RA_GIANT	GD_MALE	RA_GIANT	1440																	Rest	DefendHomeland	ReturnHome	FARSIGHTED+ARROGANT+HEADSTRONG
1	34	CH_DOROK	ALIVE	"94,72"	Dorok the Dour	Dorok					RA_ATHELING	GD_MALE	RA_ATHELING	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+PASSIONATE+ARROGANT
1	35	CH_SCIRANE	ALIVE	"219,92"	Scirane the Swift	Scirane					RA_DRAGONLORD	GD_MALE	RA_DRAGONLORD	1440																	Rest	DefendHomeland	ReturnHome	ENERGETIC+GALLANT+HOTTEMPERED
1	36	CH_SADLAK	ALIVE	"151,15"	Sadlak the Merry	Sadlak					RA_LONG_DWARF	GD_MALE	RA_LONG_DWARF	1440																	Rest	DefendHomeland	ReturnHome	TALKATIVE+HOMELOVING+CHARMING
1	37	CH_CORLANE	KNOWLEDGE+ALIVE	"128,96"	Corlane the Bear	Corlane					RA_ARAKAI	GD_MALE	RA_ARAKAI	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+GENEROUS+TIRELESS+GALLANT+LOYAL+MIGHTYWARRIOR+RECKLESS
1	38	CH_MOGLAI	ALIVE	"180,172"	Moglai Firewolf	Moglai					RA_USKARG	GD_MALE	RA_USKARG	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+ENERGETIC+ARROGANT
1	39	CH_NORGRIM	KNOWLEDGE+ALIVE	"88,162"	Norgrim the Rock	Norgrim					RA_DEEPING_DWARF	GD_MALE	RA_DEEPING_DWARF	1440																	Rest	DefendHomeland	ReturnHome	BRAVE+BOLD+HOTTEMPERED+MIGHTYWARRIOR
1	40	CH_JARLETH	KNOWLEDGE+ALIVE	"41,153"	Jarleth the Shining	Jarleth					RA_HIGH_FEY	GD_MALE	RA_HIGH_FEY	1440																	Rest	DefendHomeland	ReturnHome	QUICKWITTED+KNOWLEDGEABLE+SUPERBLEADER+CAUTIOUS
1	41	CH_URSKRETH	ALIVE	"134,182"	Urskreth the Vile	Urskreth					RA_DARK_FEY	GD_MALE	RA_DARK_FEY	1440																	Rest	DefendHomeland	ReturnHome	ARROGANT+REPULSIVE+PROVOCATIVE
