Version	Id	Symbol	Flags	Name	Default Soldiers Name	Success	Initial Movement	Diagonal Movement	Riding Multiplier	Movement Max	Rest Amount	Stronghold Startups	Mist Time Adjustment	Mist Despondency Adjustment	Energy Amount	Energy Amount Riding
7	0	RA_DEFAULT		Default		0	2	1	2	255	9	0	0	0	0	0
7	1	RA_DOOMDARK		Doomdark	Doomguard	0	1	0	2	255	9	250	0	0	0	0
7	2	RA_FREE		Free		0	2	1	2	255	9	200	0	0	0	0
7	3	RA_FEY		Fey		0	2	1	2	255	9	100	0	0	0	0
7	4	RA_TARG		Targ		0	2	1	2	255	9	100	0	0	0	0
7	5	RA_WISE		Wise		0	2	1	2	255	9	100	0	0	0	0
7	6	RA_MORKIN		Morkin	Moonguard	0	2	1	2	255	9	100	0	0	2	4
7	7	RA_SKULKRIN		Skulkrin		0	2	1	2	255	9	100	0	0	0	0
7	8	RA_DRAGON		Dragon	Dragonguard	0	1	0	2	1	9	100	0	0	0	0
7	9	RA_TROLL		Troll	Trolls	0	0	0	0	0	9	100	0	0	0	0
7	10	RA_MIDWINTER		Midwinter		0	2	1	2	255	9	0	0	0	0	0
7	11	RA_MOONPRINCE		Moonprince	Moonguard	0	6	2	3	0	9	250	2	6	1	2
7	12	RA_BARBARIAN		Barbarians		0	8	2	5	0	9	100	2	6	2	4
7	13	RA_ICELORD		Icelords	Iceguard	0	5	2	3	0	9	200	0	0	1	2
7	14	RA_GIANT		Giants		0	5	2	5	0	9	100	2	6	2	2
7	15	RA_HEARTSTEALER		Heartstealer	Iceguard	0	2	2	2	0	9	200	0	0	0	0
7	16	RA_DWARF		Dwarves		0	5	2	5	0	9	100	2	6	3	3
7	17	RA_TARITHEL		Fey		0	2	2	2	0	9	0	2	6	1	1
7	18	RA_DOOMDARK		Doomdark	Doomguard	0	0	2	0	255	9	200	0	0	0	0
7	19	RA_KITH		Kith		0	2	1	2	255	9	0	0	0	0	0
7	20	RA_ATHELING		Atheling		0	2	1	2	255	9	0	0	0	0	0
7	21	RA_ELDRIN		Eldrin		0	2	1	2	255	9	0	0	0	0	0
7	22	RA_LONG_DWARF		Long Dwarf		0	2	1	2	255	9	0	0	0	0	0
7	23	RA_ARAKAI		Arakai		0	2	1	2	255	9	0	0	0	0	0
7	24	RA_DRAGONLORD		Dragonlord		0	2	1	2	255	9	0	0	0	0	0
7	25	RA_HIGH_FEY		High Fey		0	2	1	2	255	9	0	0	0	0	0
7	26	RA_DAWN_FEY		Dawn Fey		0	2	1	2	255	9	0	0	0	0	0
7	27	RA_USKARG		Uskarg		0	2	1	2	255	9	0	0	0	0	0
7	28	RA_GELMING		Gelming		0	2	1	2	255	9	0	0	0	0	0
7	29	RA_DEEPING_DWARF		Deeping Dwarf		0	2	1	2	255	9	0	0	0	0	0
7	30	RA_BLOODMARCH_GIANT		Giant		0	2	1	2	255	9	0	0	0	0	0
7	31	RA_DARK_FEY		Dark Fey		0	2	1	2	255	9	0	0	0	0	0
7	32	RA_GOLDEN_FEY		Golden Fey		0	2	1	2	255	9	0	0	0	0	0
7	33	RA_CORSAIRS		Corsair		0	2	1	2	255	9	0	0	0	0	0
