Version	Id	Symbol	Flags	Priority	Objective	Condition	References	Points	Scorer	Action	Action Id
7	1	MI_USHGARAK_FALLEN	ENABLED	1	Major	StrongholdTaken	SH_CITADEL_USHGARAK|RA_FREE	16	RA_FREE	None	
7	2	MI_ICECROWN_DESTROYED	ENABLED+ANY	2	Major	MissionComplete	MI_ICECROWN_LAKEMIRROW|MI_ICECROWN_LORGIM|MI_ICECROWN_FAWKRIN|MI_ICECROWN_FARFLAME	8	RA_FREE	None	
7	3	MI_LUXOR_DEAD	ENABLED	1	Major	CharacterDead	CH_LUXOR	4	RA_DOOMDARK	None	
7	4	MI_MORKIN_DEAD	ENABLED	1	Major	CharacterDead	CH_MORKIN	16	RA_DOOMDARK	None	
7	5	MI_XAJORKITH_FALLEN	ENABLED	1	Major	StrongholdTaken	SH_CITADEL_XAJORKITH|RA_DOOMDARK	8	RA_DOOMDARK	None	
7	6	MI_MORKIN_XAJORKITH	ENABLED	2	None	MissionComplete	MI_XAJORKITH_FALLEN|MI_MORKIN_DEAD	0		None	
7	7	MI_MORKIN_LUXOR_DEAD	ENABLED	2	None	CharacterDead	CH_MORKIN|CH_LUXOR	0		None	
7	8	MI_ICECROWN_USHGARAK	ENABLED	3	None	MissionComplete	MI_USHGARAK_FALLEN|MI_ICECROWN_DESTROYED	0		None	
7	9	MI_ICECROWN_LORGIM	ENABLED	1	Flag	SameLocation	CH_LORGRIM|OB_ICECROWN	0		None	
7	10	MI_ICECROWN_FAWKRIN	ENABLED	1	Flag	SameLocation	CH_FAWKRIN|OB_ICECROWN	0		None	
7	11	MI_ICECROWN_LAKEMIRROW	ENABLED	1	Flag	SameLocation	PL_LAKE_MIRROW|OB_ICECROWN	0		None	
7	12	MI_ICECROWN_FARFLAME	ENABLED	1	Flag	SameLocation	CH_FARFLAME|OB_ICECROWN	0		None	
