Version	Id	Symbol	Flags	Name	Default Soldiers Name	Success	Initial Movement	Diagonal Movement	Riding Multiplier	Movement Max	Rest Amount	Stronghold Startups	Mist Time Adjustment	Mist Despondency Adjustment	Energy Amount	Energy Amount Riding
7	0	RA_DEFAULT		Default		0	2	1	2	255	9	0	0	0	0	0
7	1	RA_DOOMDARK		Doomdark	Doomguard	0	1	0	2	255	9	250	0	0	0	0
7	2	RA_FREE		Free		0	2	1	2	255	9	200	0	0	0	0
7	3	RA_FEY		Fey		0	2	1	2	255	9	100	0	0	0	0
7	4	RA_TARG		Targ		0	2	1	2	255	9	100	0	0	0	0
7	5	RA_WISE		Wise		0	2	1	2	255	9	100	0	0	0	0
7	6	RA_MORKIN		Morkin	Moonguard	0	2	1	2	255	9	100	0	0	2	4
7	7	RA_SKULKRIN		Skulkrin		0	2	1	2	255	9	100	0	0	0	0
7	8	RA_DRAGON		Dragon	Dragonguard	0	1	0	2	1	9	100	0	0	0	0
7	9	RA_TROLL		Troll	Trolls	0	0	0	0	0	9	100	0	0	0	0
7	10	RA_MIDWINTER		Midwinter		0	2	1	2	255	9	0	0	0	0	0
