Version	Id	Symbol	Flags	Location	RouteNodes
11	1	RN_CITADEL_GLOOM		9,1	RN_CITADEL_GLOOM,RN_CITADEL_GLOOM
11	2	RN_KEEP_OF_LORGRIM		47,4	RN_KEEP_OF_LORGRIM,RN_KEEP_OF_ITHRIL
11	3	RN_DESPAIR_KEEP_3		29,5	RN_DESPAIR_KEEP_3,RN_CITADEL_USHGARAK
11	4	RN_CITADEL_VORGATH		23,6	RN_CITADEL_VORGATH,RN_WEIRDHENGE
11	5	RN_KEEP_OF_DEATH		33,7	RN_KEEP_OF_DEATH,RN_CITADEL_USHGARAK
11	6	RN_DESPAIR_KEEP_6		24,8	RN_DESPAIR_KEEP_6,RN_CITADEL_VORGATH
11	7	RN_CITADEL_USHGARAK		30,8	RN_CITADEL_USHGARAK,RN_CITADEL_KOR
11	8	RN_CITADEL_GRARG		38,8	RN_GRARG_KEEP_9,RN_GRARG_KEEP_11
11	9	RN_GRARG_KEEP_9		41,9	RN_KEEP_OF_LORGRIM,RN_CAVERN_OF_CRARG
11	10	RN_KEEP_OF_FADRATH		58,9	RN_KEEP_OF_FADRATH,RN_KEEP_OF_FADRATH
11	11	RN_GRARG_KEEP_11		40,10	RN_GRARG_KEEP_11,RN_CAVERN_OF_CRARG
11	12	RN_KEEP_OF_LOTHORIL		12,11	RN_KEEP_OF_LOTHORIL,RN_KEEP_OF_LOTHORIL
11	13	RN_LOST_KEEP_13		22,12	RN_UGRAK_KEEP_14,RN_KOR_KEEP_23
11	14	RN_UGRAK_KEEP_14		26,12	RN_KOR_KEEP_27,RN_KOR_KEEP_23
11	15	RN_CITADEL_KOR		30,13	RN_KOR_KEEP_23,RN_KOR_KEEP_24
11	16	RN_KOR_KEEP_16		37,13	RN_KOR_KEEP_23,RN_KOR_KEEP_24
11	17	RN_KEEP_OF_ITHRIL		52,13	RN_ITHRIL_KEEP_20,RN_ITHRIL_KEEP_26
11	18	RN_KEEP_OF_DROON		63,13	RN_CITADEL_ITHRORN,RN_CITADEL_ITHRORN
11	19	RN_GLORIM_KEEP_19		17,14	RN_GLORIM_KEEP_22,RN_GLORIM_KEEP_22
11	20	RN_ITHRIL_KEEP_20		56,14	RN_KEEP_OF_DROON,RN_CITADEL_ITHRORN
11	21	RN_CITADEL_ITHRORN		58,16	RN_KEEP_OF_WHISPERS,RN_RUIN_KUMAR_111
11	22	RN_GLORIM_KEEP_22		15,17	RN_OGRIM_LITH_106,RN_KORKITH_KEEP_30
11	23	RN_KOR_KEEP_23		28,17	RN_KOR_KEEP_28,RN_KEEP_OF_KOR
11	24	RN_KOR_KEEP_24		35,17	RN_KEEP_OF_KOR,RN_VALETHOR_KEEP_42
11	25	RN_CITADEL_DREAMS		43,17	RN_CITADEL_DREAMS,RN_CITADEL_DREAMS
11	26	RN_ITHRIL_KEEP_26		53,17	RN_CITADEL_ITHRORN,RN_CITADEL_ITHRORN
11	27	RN_KOR_KEEP_27		20,18	RN_CITADEL_KORKITH,RN_CITADEL_KORKITH
11	28	RN_KOR_KEEP_28		23,19	RN_KOR_KEEP_27,RN_CITADEL_KORKITH
11	29	RN_ITHRIL_KEEP_29		55,19	RN_CITADEL_ITHRORN,RN_KEEP_OF_WHISPERS
11	30	RN_KORKITH_KEEP_30		15,21	RN_CITADEL_KORKITH,RN_CITADEL_KORKITH
11	31	RN_ITHRIL_KEEP_31		50,21	RN_ITHRIL_KEEP_26,RN_ITHRIL_KEEP_29
11	32	RN_KEEP_OF_WHISPERS		58,21	RN_HERATH_KEEP_38,RN_HERATH_KEEP_38
11	33	RN_CITADEL_KORKITH		19,22	RN_KEEP_OF_VALETHOR,RN_KEEP_OF_VALETHOR
11	34	RN_KOR_KEEP_34		43,22	RN_KOR_KEEP_34,RN_ITHRIL_KEEP_36
11	35	RN_KEEP_OF_KOR		32,23	RN_KOR_KEEP_39,RN_KOR_KEEP_37
11	36	RN_ITHRIL_KEEP_36		47,23	RN_ITHRIL_KEEP_36,RN_ITHRIL_KEEP_31
11	37	RN_KOR_KEEP_37		40,24	RN_KOR_KEEP_34,RN_KEEP_HERATH
11	38	RN_HERATH_KEEP_38		57,25	RN_CITADEL_KUMAR,RN_KEEP_OF_UTARG
11	39	RN_KOR_KEEP_39		33,26	RN_VALETHOR_KEEP_42,RN_VALETHOR_KEEP_42
11	40	RN_KEEP_HERATH		46,27	RN_HERATH_KEEP_41,RN_KEEP_OF_KUMAR
11	41	RN_HERATH_KEEP_41		55,27	RN_HERATH_KEEP_38,RN_CITADEL_KUMAR
11	42	RN_VALETHOR_KEEP_42		35,28	RN_VALETHOR_KEEP_46,RN_VALETHOR_KEEP_46
11	43	RN_KEEP_OF_VALETHOR		18,29	RN_CITADEL_GORGARTH,RN_VALETHOR_KEEP_51
11	44	RN_MARAKITH_KEEP_44		43,29	RN_KEEP_OF_KUMAR,RN_KEEP_HERATH
11	45	RN_CITADEL_GORGARTH		25,30	RN_VALETHOR_KEEP_50,RN_VALETHOR_KEEP_51
11	46	RN_VALETHOR_KEEP_46		31,30	RN_CITADEL_GORGARTH,RN_VALETHOR_KEEP_51
11	47	RN_KEEP_OF_KUMAR		52,30	RN_CITADEL_KUMAR,RN_TARG_KEEP_49
11	48	RN_CITADEL_KUMAR		58,30	RN_TARG_KEEP_49,RN_KEEP_OF_UTARG
11	49	RN_TARG_KEEP_49		56,32	RN_KEEP_OF_UTARG,RN_KEEP_OF_ANTHORIL
11	50	RN_VALETHOR_KEEP_50		22,33	RN_KEEP_OF_DODRAK,RN_KEEP_OF_BLOOD
11	51	RN_VALETHOR_KEEP_51		24,33	RN_KEEP_OF_BLOOD,RN_BLOOD_KEEP_55
11	52	RN_CITADEL_MARAKITH		44,33	RN_DAWN_KEEP_62,RN_DAWN_KEEP_63
11	53	RN_KEEP_OF_DODRAK		14,34	RN_LITH_OF_ASHIMAR,RN_KEEP_OF_THEMOON
11	54	RN_KEEP_OF_MARAKITH		35,34	RN_MARAKITH_KEEP_44,RN_CITADEL_MARAKITH
11	55	RN_BLOOD_KEEP_55		31,35	RN_KEEP_OF_MARAKITH,RN_BLOOD_KEEP_59
11	56	RN_KEEP_OF_UTARG		60,35	RN_KEEP_OF_ANTHORIL,RN_KEEP_OF_DREGRIM
11	57	RN_KEEP_OF_BLOOD		22,37	RN_BLOOD_KEEP_60,RN_BLOOD_KEEP_61
11	58	RN_KEEP_OF_ANTHORIL		55,39	RN_DAWN_KEEP_62,RN_KEEP_OF_DREGRIM
11	59	RN_BLOOD_KEEP_59		28,40	RN_CITADEL_SHIMERIL,RN_KEEP_OF_DAWN
11	60	RN_BLOOD_KEEP_60		23,41	RN_KEEP_OF_THEMOON,RN_CITADEL_SHIMERIL
11	61	RN_BLOOD_KEEP_61		26,41	RN_CITADEL_SHIMERIL,RN_KEEP_OF_MITHARG
11	62	RN_DAWN_KEEP_62		49,41	RN_TRORN_KEEP_74,RN_KEEP_OF_TRORN
11	63	RN_DAWN_KEEP_63		43,42	RN_KEEP_OF_DAWN,RN_CITADEL_DAWN
11	64	RN_KEEP_OF_DREGRIM		56,42	RN_CITADEL_DAWN,RN_KEEP_OF_TRORN
11	65	RN_KEEP_OF_THEMOON		18,43	RN_KEEP_OF_GARD,RN_KEEP_OF_BRITH
11	66	RN_CITADEL_SHIMERIL		29,43	RN_LITH_OF_SHIMERIL,RN_KEEP_OF_DAWN
11	67	RN_KEEP_OF_DAWN		38,44	RN_DAWN_KEEP_71,RN_RUIN_OF_RORATH
11	68	RN_CITADEL_DREGRIM		60,44	RN_CITADEL_DREGRIM,RN_CITADEL_DREGRIM
11	69	RN_CITADEL_DAWN		45,46	RN_DAWN_KEEP_71,RN_TRORN_KEEP_74
11	70	RN_KEEP_OF_MITHARG		30,47	RN_DAWN_KEEP_71,RN_KEEP_OF_BRITH
11	71	RN_DAWN_KEEP_71		43,47	RN_MORNING_KEEP_79,RN_KEEP_OF_CORELAY
11	72	RN_KEEP_OF_TORKREN		8,48	RN_CITADEL_GARD,RN_KEEP_OF_SILENCE
11	73	RN_KEEP_OF_GARD		11,48	RN_GARD_KEEP_82,RN_GARD_KEEP_82
11	74	RN_TRORN_KEEP_74		49,49	RN_KEEP_OF_CORELAY,RN_TRORN_KEEP_80
11	75	RN_KEEP_OF_BRITH		22,50	RN_KEEP_OF_ODRARK,RN_BRITH_KEEP_89
11	76	RN_KEEP_OF_CORELAY		46,50	RN_CORELAY_KEEP_81,RN_CORELAY_KEEP_84
11	77	RN_KEEP_OF_TRORN		55,51	RN_CORELAY_KEEP_85,RN_CORELAY_KEEP_95
11	78	RN_KEEP_OF_MORNING		40,52	RN_KEEP_OF_ODRARK,RN_CORELAY_KEEP_90
11	79	RN_MORNING_KEEP_79		43,52	RN_KEEP_OF_MORNING,RN_CORELAY_KEEP_84
11	80	RN_TRORN_KEEP_80		51,52	RN_KEEP_OF_TRORN,RN_CORELAY_KEEP_95
11	81	RN_CORELAY_KEEP_81		47,53	RN_CORELAY_KEEP_84,RN_CITADEL_XAJORKITH
11	82	RN_GARD_KEEP_82		13,55	RN_CITADEL_GARD,RN_GARD_KEEP_92
11	83	RN_KEEP_OF_ODRARK		26,55	RN_RUIN_OF_RORATH,RN_RUIN_OF_RORATH
11	84	RN_CORELAY_KEEP_84		45,55	RN_CITADEL_XAJORKITH,RN_CITADEL_XAJORKITH
