Version	Id	Symbol	Text
7	0	SS_ADVERBS	utterly |very |-|quite |slightly |-|very |utterly |
7	1	SS_NUMBERS	one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|hundred|thousand
7	2	SS_ENERGYTOKENS	invigorated|tired
7	3	SS_FEARTOKENS	mild|cold
7	4	SS_COURAGETOKEN	bold|afraid
7	5	SS_DEFAULT_TERRAIN	the {terrain:plural} of {area:text}
7	6	SS_LOCATION_DOMAIN	{terrain:single} in the Domain of {area:text}
7	7	SS_LOCATION_NOTDOMAIN	{terrain:text}
7	8	SS_DAWN	.{lf}{crlf}{cr}  Do you want Dawn? 
7	9	SS_NIGHT	  Night has fallen and the Foul are abroad! {case:first}{special:days} {plural:day:days} {plural:has:have} passed since the War of the Solstice began
7	10	SS_THINGATLOCATION	{case:first}{char:loc:obj:name} are abroad. 
7	11	SS_RECRUITMEN	{char:name} has recruited {number:%d} %s from {char:loc:name}. {case:first}{number:%d} %s now guard the {char:loc:terrain:name}. {char:text:army}
7	12	SS_POSTMEN	{char:name} has placed {number:%d} %s on guard at {char:loc:name}. {case:first}{number:%d} %s now guard the {char:loc:terrain:name}. {char:text:army}
7	13	SS_ITISNIGHT	It is night
7	14	SS_ITISDAWN	It is dawn
7	15	SS_LESSTHAN	Less than {char:time} {plural:hour:hours} of the day {plural:remains:remain}
7	16	SS_HOURSOFDAY	{case:first}{char:time} {plural:hour:hours} of the day {plural:remains:remain}
7	17	SS_CHARACTER_ENERGY	{char:name} is {char:energy}
7	18	SS_CHARACTER_FEAR	The ice fear is {char:fear}
7	19	SS_CHARACTER_COURAGE	{char:name} is {char:courage}
7	20	SS_CARRYNOTHING	{case:first}{char:gender:heshe} is carrying nothing
7	21	SS_CARRYING	{case:first}{char:gender:heshe} has with {char:gender:himher} {char:obj:text}
7	22	SS_KILLED_OBJECT	{char:battle:obj:name} killed {char:gender:himher}. 
7	23	SS_KILLED_BATTLE	{case:first}{char:gender:heshe} was killed in battle. %s
7	24	SS_HIDDEN	{case:first}{char:name} is hidden. 
7	25	SS_MUSTFIGHT	{case:first}{char:loc:obj:name} are abroad and {char:gender:heshe} must fight or hide. 
7	26	SS_MESSAGE1	{char:text:time} and {char:text:energy}. {char:text:fear}. {char:text:courage}. {char:text:obj}. 
7	27	SS_MESSAGE2	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}. {char:text:army}
7	28	SS_MESSAGE3	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}. {char:text:time} and {char:text:energy}. {char:text:fear}. {char:text:courage}. {char:text:obj}. {char:text:group}. 
7	29	SS_MESSAGE4	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}. {char:text:energy}. {char:text:fear}. {char:text:courage}. {char:text:group}. 
7	30	SS_MESSAGE5	  {case:first}{char:gender:heshe} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name}. 
7	31	SS_MESSAGE6	  {case:first}{char:gender:heshe} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name} to {char:lookat:name}. 
7	32	SS_SEEK	{case:first}{char:gender:heshe} has found {obj:text}. 
7	33	SS_FIGHT	{case:first}{char:gender:heshe} slew the {obj:name}. 
7	34	SS_GUIDANCE1	"A voice calls, ""Looking for {char:longname}, you must seek {char:loc:name}."" "
7	35	SS_GUIDANCE2	can destroy the Ice Crown
7	36	SS_SEEK_NOTHING	{case:first}{char:gender:heshe} has found nothing. 
7	37	SS_BATTLE1	"In the battle of {char:battle:loc:area:text}, {char:name}"
7	38	SS_BATTLE_NONE	"In the battle of {char:battle:loc:area:text}, "
7	39	SS_BATTLE_WARRIORS	{s:SS_BATTLE1} lost %s warriors.
7	40	SS_BATTLE_RIDERS	{s:SS_BATTLE1} lost %s riders.
7	41	SS_BATTLE_WARRIORS_RIDERS	{s:SS_BATTLE1} lost %s warriors and %s riders.
7	42	SS_BATTLE_CHARACTER_SLEW	{char:name} alone slew %s of the enemy. 
7	43	SS_BATTLE_WARRIORS_SLEW	{case:first}{char:gender:hisher} warriors slew %s. 
7	44	SS_BATTLE_RIDERS_SLEW	{case:first}{char:gender:hisher} riders slew %s. 
7	45	SS_VICTORY_FREE	Victory went to the free! 
7	46	SS_VICTORY_ENEMY	Victory went to the enemy! 
7	47	SS_VICTORY_NONE	The battle continues. . . 
7	48	SS_ARMY_CHARACTER_COMMANDS	{char:longname} commands
7	49	SS_ARMY_CHARACTER_WARRIORS	{case:first}{char:gender:hisher} warriors are %s. 
7	50	SS_ARMY_CHARACTER_RIDERS	{case:first}{char:gender:hisher} riders are %s. 
7	51	SS_ARMY_NONE	{char:longname} commands no army.
7	52	SS_ARMY_WARRIORS	{char:longname} commands %s warriors but no riders. {case:first}{char:gender:hisher} warriors are %s. 
7	53	SS_ARMY_RIDERS	{char:longname} commands no warriors but %s riders. {case:first}{char:gender:hisher} riders are %s. 
7	54	SS_ARMY_WARRIORS_RIDERS	{char:longname} commands %s warriors and %s riders. {case:first}{char:gender:hisher} warriors are %s. {case:first}{char:gender:hisher} riders are %s. 
7	55	SS_TERRAIN_PLURAL	{terrain:name}s
7	56	SS_TERRAIN_SINGLE	a {terrain:name}
7	57	SS_AREA_PREFIXED	{area:prefix} {area:name}
7	58	SS_DEFEAT1	{lf}{crlf}{cr}Victory to Doomdark! 
7	59	SS_DEFEAT2	{lf}{crlf}{cr}Luxor and Morkin are dead!{lf}{crlf}{cr}Victory to Doomdark! 
7	60	SS_DEFEAT3	{lf}{crlf}{cr}Xajorkith has fallen and Morkin is dead!{lf}{crlf}{cr}Victory to Doomdark! 
7	61	SS_VICTORY1	{lf}{crlf}{cr}Victory to the Free! 
7	62	SS_VICTORY2	{lf}{crlf}{cr}Ushgarak has fallen.{lf}{crlf}{cr}Victory to the Free! 
7	63	SS_VICTORY3	{lf}{crlf}{cr}Lorgrim the Wise has destroyed the Ice Crown.{lf}{crlf}{cr}Victory to the Free! 
7	64	SS_VICTORY4	{lf}{crlf}{cr}Morkin cast the Ice Crown into Lake Mirrow and destroyed it.{lf}{crlf}{cr}Victory to the Free! 
