Version	Symbol	Value
7	ALWAYS_ATTEMPT_RECRUIT	No
7	BATTLE_DEFAULT_CHAR_ENERGY_DRAIN	20
7	BATTLE_DEFAULT_ENERGY_DRAIN	24
7	BATTLE_SUCCESS_REGIMENT_RIDERS	4
7	BATTLE_SUCCESS_REGIMENT_WARRIORS	5
7	CHARACTER_AUTO_SEEK	No
7	CHARACTER_AUTO_UNHIDE	No
7	CHARACTER_DEFAULT	CH_LUXOR|CH_MORKIN|CH_CORLETH|CH_RORTHRON
7	CHARACTER_DEFAULT_ENERGY_INC	9
7	CHARACTER_DEFAULT_MEMORY_AGE	10
7	CHARACTER_FOE	CH_DOOMDARK
7	CHARACTER_FRIEND	CH_LUXOR
7	CHARACTER_GUARD_AMOUNT	100
7	CHARACTER_MAX_ENERGY	127
7	CHARACTER_MAX_RIDERS	1200
7	CHARACTER_MAX_WARRIORS	1200
7	CHARACTER_RECRUIT_AMOUNT	100
7	COLLATE_BATTLE_AREAS	No
7	CONTROLLED_CHARACTER	0
7	COURAGE_SCALE	1
7	DATABASE_VERSION	1
7	DAYS	0
7	DESPONDENT_SCALE	32
7	ENERGY_CANNOT_CONTINUE	0
7	ENERGY_MAX	127
7	ENERGY_SCALE	16
7	FEAR_SCALE	64
7	LOOKFORWARDDISTANCE	3
7	MAP_FILE	map
7	MAP_HEIGHT	63
7	MAP_WIDTH	66
7	MAX_ARMIES_IN_LOCATION	256
7	MAX_CHARACTERS_FOLLOWING	32
7	MAX_CHARACTERS_IN_LOCATION	128
7	MAX_FOE_ARMIES_IN_LOCATION	128
7	MAX_FRIEND_ARMIES_IN_LOCATION	128
7	MAX_REGIMENTS_IN_LOCATION	128
7	MAX_ROUTENODES_IN_LOCATION	1
7	MAX_STRONGHOLDS_IN_LOCATION	1
7	OBJECT_ENERGY_SHADOWSOFDEATH	0
7	OBJECT_ENERGY_SHELTER	10
7	OBJECT_ENERGY_WATERSOFLIFE	120
7	RECKLESS_SCALE	32
7	REGIMENT_DEFAULT_MOVES	6
7	RIDERS_DEFAULT_ENERGY_INC	6
7	RIDERS_MAX_ENERGY	127
7	SEEK_MESSAGES	SS_SEEK_MSG1|SS_SEEK_MSG2|SS_SEEK_MSG3|SS_SEEK_MSG4
7	STRENGTH_MAX	100
7	STRONGHOLD_ADJUSTER	0
7	STRONGHOLD_DEFAULT_ALLOW_RESPAWN	No
7	STRONGHOLD_DEFAULT_EMPTY	20
7	STRONGHOLD_DEFAULT_MAX	1200
7	STRONGHOLD_DEFAULT_MIN	100
7	STRONGHOLD_DEFAULT_RESPAWN_AMOUNT	50
7	SUCCESS_BASE_LEVEL	24
7	SUCCESS_FEY_ON_HORSE_ADJUSTER	64
7	SUCCESS_RIDERS_ENERGY_MOUNTAIN	32
7	SUCCESS_RIDERS_ENERGY_OTHER	64
7	TIME_DAWN	16
7	TIME_NIGHT	0
7	TIME_SCALE	2
7	WARRIORS_DEFAULT_ENERGY_INC	4
7	WARRIORS_MAX_ENERGY	127
