Version	Id	Symbol	Flags	Location
7	1	PL_CITADEL_GLOOM		9,1
7	2	PL_KEEP_OF_LORGRIM		47,4
7	3	PL_DESPAIR_KEEP_3		29,5
7	4	PL_CITADEL_VORGATH		23,6
7	5	PL_KEEP_OF_DEATH		33,7
7	6	PL_DESPAIR_KEEP_6		24,8
7	7	PL_CITADEL_USHGARAK		30,8
7	8	PL_CITADEL_GRARG		38,8
7	9	PL_GRARG_KEEP_9		41,9
7	10	PL_KEEP_OF_FADRATH		58,9
7	11	PL_GRARG_KEEP_11		40,10
7	12	PL_KEEP_OF_LOTHORIL		12,11
7	13	PL_LOST_KEEP_13		22,12
7	14	PL_UGRAK_KEEP_14		26,12
7	15	PL_CITADEL_KOR		30,13
7	16	PL_KOR_KEEP_16		37,13
7	17	PL_KEEP_OF_ITHRIL		52,13
7	18	PL_KEEP_OF_DROON		63,13
7	19	PL_GLORIM_KEEP_19		17,14
7	20	PL_ITHRIL_KEEP_20		56,14
7	21	PL_CITADEL_ITHRORN		58,16
7	22	PL_GLORIM_KEEP_22		15,17
7	23	PL_KOR_KEEP_23		28,17
7	24	PL_KOR_KEEP_24		35,17
7	25	PL_CITADEL_DREAMS		43,17
7	26	PL_ITHRIL_KEEP_26		53,17
7	27	PL_KOR_KEEP_27		20,18
7	28	PL_KOR_KEEP_28		23,19
7	29	PL_ITHRIL_KEEP_29		55,19
7	30	PL_KORKITH_KEEP_30		15,21
7	31	PL_ITHRIL_KEEP_31		50,21
7	32	PL_KEEP_OF_WHISPERS		58,21
7	33	PL_CITADEL_KORKITH		19,22
7	34	PL_KOR_KEEP_34		43,22
7	35	PL_KEEP_OF_KOR		32,23
7	36	PL_ITHRIL_KEEP_36		47,23
7	37	PL_KOR_KEEP_37		40,24
7	38	PL_HERATH_KEEP_38		57,25
7	39	PL_KOR_KEEP_39		33,26
7	40	PL_KEEP_HERATH		46,27
7	41	PL_HERATH_KEEP_41		55,27
7	42	PL_VALETHOR_KEEP_42		35,28
7	43	PL_KEEP_OF_VALETHOR		18,29
7	44	PL_MARAKITH_KEEP_44		43,29
7	45	PL_CITADEL_GORGARTH		25,30
7	46	PL_VALETHOR_KEEP_46		31,30
7	47	PL_KEEP_OF_KUMAR		52,30
7	48	PL_CITADEL_KUMAR		58,30
7	49	PL_TARG_KEEP_49		56,32
7	50	PL_VALETHOR_KEEP_50		22,33
7	51	PL_VALETHOR_KEEP_51		24,33
7	52	PL_CITADEL_MARAKITH		44,33
7	53	PL_KEEP_OF_DODRAK		14,34
7	54	PL_KEEP_OF_MARAKITH		35,34
7	55	PL_BLOOD_KEEP_55		31,35
7	56	PL_KEEP_OF_UTARG		60,35
7	57	PL_KEEP_OF_BLOOD		22,37
7	58	PL_KEEP_OF_ANTHORIL		55,39
7	59	PL_BLOOD_KEEP_59		28,40
7	60	PL_BLOOD_KEEP_60		23,41
7	61	PL_BLOOD_KEEP_61		26,41
7	62	PL_DAWN_KEEP_62		49,41
7	63	PL_DAWN_KEEP_63		43,42
7	64	PL_KEEP_OF_DREGRIM		56,42
7	65	PL_KEEP_OF_THEMOON		18,43
7	66	PL_CITADEL_SHIMERIL		29,43
7	67	PL_KEEP_OF_DAWN		38,44
7	68	PL_CITADEL_DREGRIM		60,44
7	69	PL_CITADEL_DAWN		45,46
7	70	PL_KEEP_OF_MITHARG		30,47
7	71	PL_DAWN_KEEP_71		43,47
7	72	PL_KEEP_OF_TORKREN		8,48
7	73	PL_KEEP_OF_GARD		11,48
7	74	PL_TRORN_KEEP_74		49,49
7	75	PL_KEEP_OF_BRITH		22,50
7	76	PL_KEEP_OF_CORELAY		46,50
7	77	PL_KEEP_OF_TRORN		55,51
7	78	PL_KEEP_OF_MORNING		40,52
7	79	PL_MORNING_KEEP_79		43,52
