Version	Id	Symbol	Text
11	0	SS_ADVERBS	utterly|extremely|very|quite|somewhat|slightly|not|not at all
11	1	SS_NUMBERS	one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|hundred|thousand|score
11	2	SS_ENERGYTOKENS	tired|tired
11	3	SS_FEARTOKENS	cold|cold
11	4	SS_COURAGETOKEN	afraid|afraid
11	5	SS_DEFAULT_TERRAIN	the {terrain:plural} of {area:text}
11	6	SS_LOCATION_DOMAIN	{terrain:single} in the Domain of {area:text}
11	7	SS_LOCATION_NOTDOMAIN	{terrain:text}
11	8	SS_DAWN	.{lf}{crlf}{cr}  Dawn breaks. 
11	9	SS_NIGHT	  It is {special:days} {plural:day:days} since the Moonprince rode forth into the Icemark.
11	10	SS_THINGATLOCATION	{case:first}{char:loc:obj:name} are abroad. 
11	11	SS_RECRUITMEN	{char:name} has recruited {number:%d} %s from {char:loc:name}. {case:first}{number:%d} %s now guard the {char:loc:terrain:name}. {char:text:army}
11	12	SS_POSTMEN	{char:name} has placed {number:%d} %s on guard at {char:loc:name}. {case:first}{number:%d} %s now guard the {char:loc:terrain:name}. {char:text:army}
11	13	SS_ITISNIGHT	It is night
11	14	SS_ITISDAWN	It is dawn
11	15	SS_LESSTHAN	Less than {char:time} {plural:hour:hours} of the day {plural:remains:remain}
11	16	SS_HOURSOFDAY	{case:first}{char:time} {plural:hour:hours} of the day {plural:remains:remain}
11	17	SS_CHARACTER_ENERGY	{char:name} is {char:energy}
11	18	SS_CHARACTER_FEAR	The ice fear is {char:fear}
11	19	SS_CHARACTER_COURAGE	{char:name} is {char:courage}
11	20	SS_CARRYNOTHING	{char:name} carries nothing
11	21	SS_CARRYING	{char:name} carries the {char:obj:fullname}
11	22	SS_KILLED_OBJECT	{char:longname} is dead, slain by {case:lower}{char:battle:obj:name}.  
11	23	SS_KILLED_BATTLE	{case:first}{char:gender:heshe} was killed in battle. %s
11	24	SS_HIDDEN	{case:first}{char:name} is hidden. 
11	25	SS_MUSTFIGHT	{case:first}{char:loc:obj:name} are abroad and {char:gender:heshe} must fight or hide. 
11	26	SS_MESSAGE1	{char:text:time}. {char:text:sees}Here {char:loc:text}, {char:longname} has found nothing. {char:text:obj}. {char:text:group} {char:text:inbattle}
11	27	SS_MESSAGE2	{char:loc:text} stands {char:longname}. {char:text:army}
11	28	SS_MESSAGE3	{char:longname} is {char:text:traits} and {char:reckless}. {char:name} is {char:despondency} and {char:energy}. {char:text:liege} {char:text:foe} {char:text:group} 
11	29	SS_MESSAGE4	{char:loc:terrain:prep} {char:loc:name} stands {char:longname}{char:text:loyalty}. {str:28}
11	30	SS_MESSAGE5	  {char:longname} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name}. 
11	31	SS_MESSAGE6	  {char:longname} stands {char:loc:terrain:prep} {char:loc:name} looking {char:dir:name} to {char:lookat:name}. 
11	32	SS_SEEK	{char:text:time}. {char:text:sees}Here {char:loc:text}, {char:longname} has found {obj:text}. {char:text:obj}. {char:text:group}
11	33	SS_FIGHT	{char:text:time}. {char:text:sees}Here {char:loc:text}, {char:longname} has found {obj:text} and slain them. {char:text:obj}. {char:text:group}
11	34	SS_GUIDANCE1	{char:text:time}. {char:text:sees}Here {char:loc:text}, {char:longname} has found {obj:text}
11	35	SS_GUIDANCE2	 {char:text:obj}. {char:text:group}
11	36	SS_SEEK_NOTHING	{case:first}{char:gender:heshe} has found nothing. 
11	37	SS_BATTLE1	In battle against %s, {char:name} 
11	38	SS_BATTLE_NONE	In battle, {char:name} 
11	39	SS_BATTLE_WARRIORS	{char:name} lost %s warriors. 
