Version	Id	Symbol	Flags	Name	Preposition	Description	Success	Visibility	Obstruction	MovementCost
11	0	TN_PLAIN	PLURAL+ARMY	Plain	on	{str:5}	0	3	1	0
11	1	TN_CITADEL	INTERESTING	Citadel	at	{str:5}	32	14	14	0
11	2	TN_FOREST	INTERESTING	Forest	in	{str:5}	0	12	13	0
11	3	TN_HENGE	INTERESTING	Henge	at	{area:name}henge	0	12	12	0
11	4	TN_TOWER	INTERESTING	Tower	at	{str:5}	0	15	7	0
11	5	TN_VILLAGE	INTERESTING	Village	in	{str:5}	0	10	8	0
11	6	TN_DOWN	PLURAL+INTERESTING	Down	on	{str:5}	0	5	4	0
11	7	TN_KEEP	INTERESTING	Keep	at	{str:5}	16	10	10	0
11	8	TN_SNOWHALL	INTERESTING	Snowhall	at	{str:5}	0	6	4	0
11	9	TN_LAKE	INTERESTING	Lake	beside	Lake {area:name}	0	4	6	0
11	10	TN_FROZENWASTE	PLURAL+BLOCK+INTERESTING	Frozen Waste	in	the Frozen Wastes	0	12	12	0
11	11	TN_RUIN	INTERESTING	Ruin	in	{str:5}	0	8	4	0
11	12	TN_LITH	INTERESTING	Lith	at	{str:5}	0	10	6	0
11	13	TN_CAVERN	INTERESTING	Cavern	at	{str:5}	0	2	6	0
11	14	TN_MOUNTAIN	PLURAL+INTERESTING	Mountain	in	{str:5}	0	16	16	0
11	15	TN_ARMY		Army			0	8	8	0
11	16	TN_PLAINS2	PLURAL+ARMY	Plain	on	{str:5}	0	3	0	1
11	17	TN_MOUNTAIN2	PLURAL+INTERESTING+ARMY	Mountain	in	{str:5}	0	16	16	8
11	18	TN_FOREST2	INTERESTING+ARMY	Forest	in	{str:5}	0	12	13	4
11	19	TN_HILL	PLURAL+INTERESTING+ARMY	Hill	in	{str:5}	0	5	4	3
11	20	TN_GATE	INTERESTING+ARMY	Gate	at	{str:5}	0	10	4	2
11	21	TN_TEMPLE	INTERESTING+ARMY	Temple	at	{str:5}	0	14	14	2
11	22	TN_PIT	INTERESTING+ARMY	Pit	at	{str:5}	0	6	2	2
11	23	TN_PALACE	INTERESTING+ARMY	Palace	at	{str:5}	0	14	14	2
11	24	TN_FORTRESS	INTERESTING+ARMY	Fortress	at	{str:5}	0	10	10	2
11	25	TN_HALL	INTERESTING+ARMY	Hall	at	{str:5}	0	6	8	2
11	26	TN_HUT	INTERESTING+ARMY	Hut	at	{str:5}	0	6	8	2
11	27	TN_WATCHTOWER	INTERESTING+ARMY	Tower	at	{str:5}	0	15	7	2
11	28	TN_CITY	INTERESTING+ARMY	City	in	{str:5}	0	14	14	2
11	29	TN_FOUNTAIN	INTERESTING+ARMY	Fountain	at	{str:5}	0	6	8	2
11	30	TN_STONE	PLURAL+INTERESTING+ARMY	Stone	at	{str:5}	0	12	6	2
11	31	TN_ICYWASTE	PLURAL+BLOCK+INTERESTING	Icy Waste	in	the Icy Wastes	0	12	12	2
11	32	TN_MIST		Mist	in	the Icy Mists	0	0	16	0
11	33	TN_ARMY2		Army			0	0	8	0
