Version	Symbol	Value
11	ALWAYS_ATTEMPT_RECRUIT	No
11	BATTLE_DEFAULT_CHAR_ENERGY_DRAIN	20
11	BATTLE_DEFAULT_ENERGY_DRAIN	24
11	BATTLE_SUCCESS_REGIMENT_RIDERS	4
11	BATTLE_SUCCESS_REGIMENT_WARRIORS	5
11	CHARACTER_AUTO_SEEK	Yes
11	CHARACTER_AUTO_UNHIDE	Yes
11	CHARACTER_DEFAULT	CH_LUXOR|CH_RORTHRON|CH_TARITHEL
11	CHARACTER_DEFAULT_ENERGY_INC	9
11	CHARACTER_DEFAULT_MEMORY_AGE	10
11	CHARACTER_FOE	CH_SHARETH
11	CHARACTER_FRIEND	CH_LUXOR
11	CHARACTER_GUARD_AMOUNT	100
11	CHARACTER_MAX_ENERGY	255
11	CHARACTER_MAX_RIDERS	1275
11	CHARACTER_MAX_WARRIORS	1275
11	CHARACTER_RECRUIT_AMOUNT	100
11	COLLATE_BATTLE_AREAS	No
11	CONTROLLED_CHARACTER	0
11	COURAGE_SCALE	1
11	DATABASE_VERSION	1
11	DAYS	0
11	DESPONDENT_SCALE	32
11	ENERGY_CANNOT_CONTINUE	0
11	ENERGY_MAX	127
11	ENERGY_SCALE	32
11	FEAR_SCALE	64
11	LOOKFORWARDDISTANCE	3
11	MAP_FILE	map
11	MAP_HEIGHT	62
11	MAP_WIDTH	66
11	MAX_ARMIES_IN_LOCATION	64
11	MAX_CHARACTERS_FOLLOWING	32
11	MAX_CHARACTERS_IN_LOCATION	32
11	MAX_FOE_ARMIES_IN_LOCATION	32
11	MAX_FRIEND_ARMIES_IN_LOCATION	32
11	MAX_REGIMENTS_IN_LOCATION	64
11	MAX_ROUTENODES_IN_LOCATION	1
11	MAX_STRONGHOLDS_IN_LOCATION	1
11	OBJECT_ENERGY_SHADOWSOFDEATH	0
11	OBJECT_ENERGY_SHELTER	10
11	OBJECT_ENERGY_WATERSOFLIFE	255
11	RECKLESS_SCALE	32
11	REGIMENT_DEFAULT_MOVES	6
11	RIDERS_DEFAULT_ENERGY_INC	6
11	RIDERS_MAX_ENERGY	255
11	SEEK_MESSAGES	
11	STRENGTH_MAX	100
11	STRONGHOLD_ADJUSTER	0
11	STRONGHOLD_DEFAULT_ALLOW_RESPAWN	Yes
11	STRONGHOLD_DEFAULT_EMPTY	20
11	STRONGHOLD_DEFAULT_MAX	1275
11	STRONGHOLD_DEFAULT_MIN	100
11	STRONGHOLD_DEFAULT_RESPAWN_AMOUNT	50
11	SUCCESS_BASE_LEVEL	24
11	SUCCESS_FEY_ON_HORSE_ADJUSTER	64
11	SUCCESS_RIDERS_ENERGY_MOUNTAIN	32
11	SUCCESS_RIDERS_ENERGY_OTHER	64
11	TIME_DAWN	31
11	TIME_NIGHT	0
11	TIME_SCALE	4
11	WARRIORS_DEFAULT_ENERGY_INC	4
11	WARRIORS_MAX_ENERGY	255
